Probability,Solvable,Runtime,Path Length,Number of Cells Processed,Number of Bumps,Number of Planning Steps,Number of Cells Determined
0.0,true,1.952E-4,18.0,42,1,2,41
0.0,true,3.118E-4,22.0,68,2,3,47
0.0,true,2.142E-4,18.0,52,1,2,37
0.0,true,1.02E-4,18.0,28,0,1,36
0.0,true,1.409E-4,18.0,52,2,3,35
0.0,true,3.289E-4,24.0,77,4,5,52
0.0,true,1.249E-4,18.0,39,0,1,36
0.0,true,1.803E-4,20.0,37,1,2,48
0.0,true,2.138E-4,24.0,53,1,3,42
0.0,true,1.841E-4,18.0,46,2,3,40
0.0,true,2.426E-4,18.0,29,1,2,44
0.0,true,2.259E-4,18.0,33,0,1,41
0.0,true,1.864E-4,22.0,65,3,4,46
0.0,true,2.058E-4,22.0,57,2,4,43
0.0,true,1.72E-4,18.0,39,1,2,40
0.0,true,2.898E-4,28.0,111,5,6,49
0.0,true,4.176E-4,32.0,128,6,8,68
0.0,true,2.643E-4,18.0,72,1,2,42
0.0,true,1.729E-4,20.0,44,2,3,42
0.0,true,3.153E-4,18.0,79,2,3,41
0.0,true,3.679E-4,24.0,96,4,5,48
0.0,true,3.581E-4,20.0,114,3,4,43
0.0,true,1.51E-4,20.0,47,1,2,35
0.0,true,1.423E-4,18.0,42,1,2,48
0.0,true,1.316E-4,22.0,62,2,3,45
0.0,true,3.739E-4,28.0,110,6,7,48
0.0,true,1.477E-4,20.0,37,1,2,29
0.0,true,4.287E-4,36.0,151,3,7,63
0.0,true,2.828E-4,26.0,85,2,5,45
0.0,true,1.297E-4,18.0,32,0,1,36
0.0,true,3.562E-4,26.0,104,3,4,51
0.0,true,2.078E-4,22.0,68,3,4,33
0.0,true,2.882E-4,22.0,95,3,4,39
0.0,true,1.647E-4,18.0,34,0,1,37
0.0,true,2.937E-4,20.0,41,1,2,38
0.0,true,3.41E-4,20.0,112,4,5,29
0.0,true,1.052E-4,18.0,35,1,2,39
0.0,true,2.852E-4,22.0,96,3,5,42
0.0,true,1.796E-4,26.0,91,4,5,52
0.0,true,1.809E-4,22.0,55,3,4,40
0.0,true,1.554E-4,26.0,106,3,5,49
0.0,true,2.053E-4,24.0,60,1,2,55
0.0,true,2.605E-4,38.0,153,7,10,65
0.0,true,1.49E-4,20.0,86,4,5,46
0.0,true,2.289E-4,18.0,77,4,5,45
0.0,true,1.332E-4,18.0,21,0,1,39
0.0,true,9.64E-5,18.0,53,0,2,37
0.0,true,1.884E-4,20.0,65,2,3,40
0.0,true,6.139E-4,40.0,125,5,7,70
0.0,true,1.551E-4,20.0,58,2,3,29
0.0,true,5.354E-4,42.0,242,10,12,78
0.0,true,2.871E-4,30.0,104,5,6,54
0.0,true,2.35E-4,20.0,89,4,5,41
0.0,true,1.844E-4,20.0,64,2,3,44
0.0,true,1.462E-4,20.0,30,1,2,41
0.0,true,1.317E-4,20.0,40,2,3,39
0.0,true,2.491E-4,18.0,51,2,3,32
0.0,true,1.624E-4,20.0,46,2,3,44
0.0,true,6.47E-4,22.0,108,4,5,41
0.0,true,2.827E-4,18.0,27,0,1,38
0.0,true,7.918E-4,40.0,143,7,9,62
0.0,true,4.0E-4,20.0,75,2,3,44
0.0,true,2.157E-4,18.0,54,1,2,35
0.0,true,6.601E-4,30.0,243,11,12,53
0.0,true,2.758E-4,20.0,104,5,6,48
0.0,true,0.0010397,60.0,384,16,18,95
0.0,true,9.15E-5,18.0,34,0,1,36
0.0,true,7.54E-5,18.0,36,0,1,41
0.0,true,2.27E-4,18.0,74,2,3,35
0.0,true,1.89E-4,22.0,56,2,3,46
0.0,true,2.507E-4,20.0,84,3,4,45
0.0,true,1.938E-4,28.0,60,1,3,46
0.0,true,2.652E-4,30.0,82,4,5,59
0.0,true,1.087E-4,18.0,23,0,1,40
0.0,true,3.334E-4,24.0,86,3,5,50
0.0,true,1.489E-4,18.0,25,0,1,36
0.0,true,2.343E-4,20.0,57,2,3,32
0.0,true,3.609E-4,18.0,72,3,4,39
0.0,true,2.638E-4,28.0,94,3,5,54
0.0,true,2.023E-4,18.0,46,1,2,35
0.0,true,4.236E-4,26.0,144,7,9,51
0.0,true,1.675E-4,22.0,50,3,4,42
0.0,true,3.038E-4,20.0,88,3,4,34
0.0,true,1.153E-4,18.0,36,1,2,39
0.0,true,1.357E-4,22.0,43,2,3,39
0.0,true,3.152E-4,26.0,98,3,6,47
0.0,true,1.065E-4,22.0,63,3,4,41
0.0,true,2.376E-4,26.0,144,7,8,41
0.0,true,1.654E-4,32.0,105,3,5,63
0.0,true,1.358E-4,18.0,37,0,1,44
0.0,true,2.275E-4,30.0,89,1,3,44
0.0,true,8.17E-5,20.0,34,1,2,40
0.0,true,3.769E-4,60.0,289,7,13,95
0.0,true,9.08E-5,20.0,58,3,4,39
0.0,true,1.426E-4,24.0,102,2,5,52
0.0,true,1.124E-4,22.0,73,2,3,43
0.0,true,2.821E-4,20.0,111,4,5,36
0.0,true,1.315E-4,20.0,49,2,3,30
0.0,true,1.244E-4,20.0,37,1,2,42
0.0,true,2.544E-4,30.0,106,4,6,51
0.0,true,2.092E-4,20.0,76,4,5,36
0.0,true,1.506E-4,20.0,44,2,3,36
0.0,true,1.106E-4,20.0,64,2,3,35
0.0,true,1.171E-4,20.0,70,3,4,41
0.0,true,3.452E-4,24.0,128,5,7,49
0.0,true,4.159E-4,36.0,181,9,10,61
0.0,true,1.805E-4,18.0,51,1,2,25
0.0,true,1.359E-4,20.0,49,2,3,33
0.0,true,4.27E-4,40.0,168,7,10,86
0.0,true,5.521E-4,20.0,130,5,6,47
0.0,true,2.737E-4,22.0,87,4,5,25
0.0,true,4.522E-4,24.0,116,2,6,49
0.0,true,3.38E-4,20.0,79,3,4,34
0.0,true,3.405E-4,28.0,161,10,11,53
0.0,true,2.248E-4,26.0,126,3,6,51
0.0,true,2.394E-4,24.0,61,3,4,51
0.0,true,3.069E-4,48.0,163,4,7,71
0.0,true,2.955E-4,30.0,159,6,9,57
0.0,true,2.454E-4,24.0,125,5,7,53
0.0,true,3.061E-4,22.0,88,3,4,40
0.0,true,1.5E-4,18.0,28,0,1,32
0.0,true,6.4E-4,38.0,174,7,10,72
0.0,true,2.48E-4,26.0,101,4,5,52
0.0,true,1.56E-4,22.0,53,2,3,48
0.0,true,3.316E-4,28.0,120,7,9,62
0.0,true,2.15E-4,20.0,82,4,5,36
0.0,true,3.271E-4,24.0,158,5,7,51
0.0,true,3.176E-4,30.0,83,2,5,54
0.0,true,2.717E-4,28.0,126,4,7,64
0.0,true,9.89E-5,20.0,25,1,2,30
0.0,true,2.365E-4,20.0,96,3,4,35
0.0,true,1.816E-4,22.0,79,3,5,43
0.0,true,1.456E-4,22.0,56,2,4,41
